Health Care,Industrials,Consumer Discretionary,Information Technology,Financials,Consumer Staples,Utilities,Materials,Real Estate,Energy,Communication Services
A,AAL,AAP,AAPL,ACGL,ADM,AEE,ALB,AMT,APA,ATVI
ABBV,ADP,AMZN,ACN,AFL,BF-B,AEP,AMCR,ARE,BKR,CHTR
ABC,ALK,APTV,ADBE,AIG,BG,AES,APD,AVB,COP,CMCSA
ABT,ALLE,AZO,ADI,AIZ,CAG,ATO,AVY,BXP,CTRA,DIS
ALGN,AME,BBWI,ADSK,AJG,CHD,AWK,BALL,CBRE,CVX,DISH
AMGN,AOS,BBY,AKAM,ALL,CL,CEG,CE,CCI,DVN,EA
BAX,BA,BKNG,AMAT,AMP,CLX,CMS,CF,CPT,EOG,FOX
BDX,BR,BWA,AMD,AON,COST,CNP,CTVA,DLR,EQT,FOXA
BIIB,CARR,CCL,ANET,AXP,CPB,D,DD,EQIX,FANG,GOOG
BIO,CAT,CMG,ANSS,BAC,DG,DTE,DOW,EQR,HAL,GOOGL
BMY,CHRW,CZR,APH,BEN,DLTR,DUK,ECL,ESS,HES,IPG
BSX,CMI,DHI,AVGO,BK,EL,ED,EMN,EXR,KMI,LYV
CAH,CPRT,DPZ,CDAY,BLK,GIS,EIX,FCX,FRT,MPC,META
CI,CSGP,DRI,CDNS,BRK-B,HRL,ES,FMC,HST,MRO,MTCH
CNC,CSX,EBAY,CDW,BRO,HSY,ETR,IFF,INVH,OKE,NFLX
COO,CTAS,ETSY,CRM,C,K,EVRG,IP,IRM,OXY,NWS
CRL,DAL,EXPE,CSCO,CB,KDP,EXC,LIN,KIM,PSX,NWSA
CTLT,DE,F,CTSH,CBOE,KHC,FE,LYB,MAA,PXD,OMC
CVS,DOV,GM,DXC,CFG,KMB,LNT,MLM,O,SLB,PARA
DGX,EFX,GPC,ENPH,CINF,KO,NEE,MOS,PEAK,TRGP,T
DHR,EMR,GRMN,EPAM,CMA,KR,NI,NEM,PLD,VLO,TMUS
DVA,ETN,HAS,FFIV,CME,LW,NRG,NUE,PSA,WMB,TTWO
DXCM,EXPD,HD,FICO,COF,MDLZ,PCG,PKG,REG,XOM,VZ
ELV,FAST,HLT,FSLR,DFS,MKC,PEG,PPG,SBAC,,WBD
EW,FDX,KMX,FTNT,FDS,MNST,PNW,SEE,SPG,,
GEHC,FTV,LEN,GEN,FIS,MO,PPL,SHW,UDR,,
GILD,GD,LKQ,GLW,FISV,PEP,SO,STLD,VICI,,
HCA,GE,LOW,HPE,FITB,PG,SRE,VMC,VTR,,
HOLX,GNRC,LVS,HPQ,FLT,PM,WEC,WRK,WELL,,
HSIC,GWW,MAR,IBM,FRC,SJM,XEL,,WY,,
HUM,HII,MCD,INTC,GL,STZ,,,,,
IDXX,HON,MGM,INTU,GPN,SYY,,,,,
ILMN,HWM,MHK,IT,GS,TAP,,,,,
INCY,IEX,NCLH,JNPR,HBAN,TGT,,,,,
IQV,IR,NKE,KEYS,HIG,TSN,,,,,
ISRG,ITW,NVR,KLAC,ICE,WBA,,,,,
JNJ,J,NWL,LRCX,IVZ,WMT,,,,,
LH,JBHT,ORLY,MCHP,JKHY,,,,,,
LLY,JCI,PHM,MPWR,JPM,,,,,,
MCK,LDOS,POOL,MSFT,KEY,,,,,,
MDT,LHX,RCL,MSI,L,,,,,,
MOH,LMT,RL,MU,LNC,,,,,,
MRK,LUV,ROST,NOW,MA,,,,,,
MRNA,MAS,SBUX,NTAP,MCO,,,,,,
MTD,MMM,TJX,NVDA,MET,,,,,,
OGN,NDSN,TPR,NXPI,MKTX,,,,,,
PFE,NOC,TSCO,ON,MMC,,,,,,
PKI,NSC,TSLA,ORCL,MS,,,,,,
PODD,ODFL,ULTA,PAYC,MSCI,,,,,,
REGN,OTIS,VFC,PTC,MTB,,,,,,
RMD,PAYX,WHR,QCOM,NDAQ,,,,,,
STE,PCAR,WYNN,QRVO,NTRS,,,,,,
SYK,PH,YUM,ROP,PFG,,,,,,
TECH,PNR,,SEDG,PGR,,,,,,
TFX,PWR,,SNPS,PNC,,,,,,
TMO,RHI,,STX,PRU,,,,,,
UHS,ROK,,SWKS,PYPL,,,,,,
UNH,ROL,,TDY,RE,,,,,,
VRTX,RSG,,TEL,RF,,,,,,
VTRS,RTX,,TER,RJF,,,,,,
WAT,SNA,,TRMB,SCHW,,,,,,
WST,SWK,,TXN,SPGI,,,,,,
XRAY,TDG,,TYL,STT,,,,,,
ZBH,TT,,VRSN,SYF,,,,,,
ZTS,TXT,,WDC,TFC,,,,,,
,UAL,,ZBRA,TROW,,,,,,
,UNP,,,TRV,,,,,,
,UPS,,,USB,,,,,,
,URI,,,V,,,,,,
,VRSK,,,WFC,,,,,,
,WAB,,,WRB,,,,,,
,WM,,,WTW,,,,,,
,XYL,,,ZION,,,,,,
