Unnamed: 0,Empresa,Retorno anual,Nombre,Sector,Industria
0,A,0.1689108405329933,Agilent Technologies,Health Care,Health Care Equipment
1,AAL,0.2283861057658831,American Airlines Group,Industrials,Passenger Airlines
2,AAP,0.170078608441361,Advance Auto Parts,Consumer Discretionary,Automotive Retail
3,AAPL,0.4106418537305296,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
4,ABBV,0.252264303425767,AbbVie,Health Care,Pharmaceuticals
5,ABC,0.195984977890858,AmerisourceBergen,Health Care,Health Care Distributors
6,ABT,0.1227236993531626,Abbott,Health Care,Health Care Equipment
7,ACGL,0.1930268677475592,Arch Capital Group,Financials,Reinsurance
8,ACN,0.2134518213693188,Accenture,Information Technology,IT Consulting & Other Services
9,ADBE,0.3016562537393454,Adobe Inc.,Information Technology,Application Software
10,ADI,0.2356413425965684,Analog Devices,Information Technology,Semiconductors
11,ADM,0.1477549244343365,ADM,Consumer Staples,Agricultural Products & Services
12,ADP,0.1407582521316519,ADP,Industrials,Human Resource & Employment Services
13,ADSK,0.23739116534802,Autodesk,Information Technology,Application Software
14,AEE,0.1041346733637653,Ameren,Utilities,Multi-Utilities
15,AEP,0.1060099757763368,American Electric Power,Utilities,Electric Utilities
16,AES,0.1478609835625375,AES Corporation,Utilities,Independent Power Producers & Energy Traders
17,AFL,0.1697849168188165,Aflac,Financials,Life & Health Insurance
18,AIG,0.0503453040616659,American International Group,Financials,Property & Casualty Insurance
19,AIZ,0.1618368025797154,Assurant,Financials,Multi-line Insurance
20,AJG,0.2001051730200282,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
21,AKAM,0.1937583882205673,Akamai,Information Technology,Internet Services & Infrastructure
22,ALB,0.2314721445188183,Albemarle Corporation,Materials,Specialty Chemicals
23,ALGN,0.3706614301526365,Align Technology,Health Care,Health Care Supplies
24,ALK,0.1725391373730214,Alaska Air Group,Industrials,Passenger Airlines
25,ALL,0.1208163131121242,Allstate,Financials,Property & Casualty Insurance
26,ALLE,0.130223331587344,Allegion,Industrials,Building Products
27,AMAT,0.2357323400802726,Applied Materials,Information Technology,Semiconductor Materials & Equipment
28,AMCR,0.1028854207132812,Amcor,Materials,Paper & Plastic Packaging Products & Materials
29,AMD,0.3196572709246323,AMD,Information Technology,Semiconductors
30,AME,0.2241371202882662,Ametek,Industrials,Electrical Components & Equipment
31,AMGN,0.1667101500020171,Amgen,Health Care,Biotechnology
32,AMP,0.2528019322703554,Ameriprise Financial,Financials,Asset Management & Custody Banks
33,AMT,0.211481320630233,American Tower,Real Estate,Telecom Tower REITs
34,AMZN,0.3319375520458836,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail
35,ANET,0.4617222221190817,Arista Networks,Information Technology,Communications Equipment
36,ANSS,0.3123888098211471,Ansys,Information Technology,Application Software
37,AON,0.160318143143481,Aon,Financials,Insurance Brokers
38,AOS,0.2081523545419363,A. O. Smith,Industrials,Building Products
39,APA,0.1931677774707263,APA Corporation,Energy,Oil & Gas Exploration & Production
40,APD,0.1584631746794969,Air Products and Chemicals,Materials,Industrial Gases
41,APH,0.2821518543481991,Amphenol,Information Technology,Electronic Components
42,APTV,0.2650110821818578,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
43,ARE,0.146556449710947,Alexandria Real Estate Equities,Real Estate,Office REITs
44,ATO,0.1212136293734977,Atmos Energy,Utilities,Gas Utilities
45,ATVI,0.3234575873736931,Activision Blizzard,Communication Services,Interactive Home Entertainment
46,AVB,0.1615100750526921,AvalonBay Communities,Real Estate,Residential REITs
47,AVGO,0.42599551965109,Broadcom Inc.,Information Technology,Semiconductors
48,AVY,0.1325431248317783,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials
49,AWK,0.1988564424478704,American Water Works,Utilities,Water Utilities
50,AXP,0.1611422415071735,American Express,Financials,Consumer Finance
51,AZO,0.2422686137314205,AutoZone,Consumer Discretionary,Specialty Stores
52,BA,0.1683189334525194,Boeing,Industrials,Aerospace & Defense
53,BAC,0.1283456581813524,Bank of America,Financials,Diversified Banks
54,BALL,0.1856556121901149,Ball Corporation,Materials,"Metal, Glass & Plastic Containers"
55,BAX,0.0931109982365441,Baxter International,Health Care,Health Care Equipment
56,BBWI,0.209228786534521,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores
57,BBY,0.2192957067905447,Best Buy,Consumer Discretionary,Computer & Electronics Retail
58,BDX,0.1271482866708011,Becton Dickinson,Health Care,Health Care Equipment
59,BEN,0.1266255940420626,Franklin Templeton,Financials,Asset Management & Custody Banks
60,BG,0.1732641775842691,Bunge Limited,Consumer Staples,Agricultural Products & Services
61,BIIB,0.3067797744220488,Biogen,Health Care,Biotechnology
62,BIO,0.230629371649814,Bio-Rad,Health Care,Life Sciences Tools & Services
63,BK,0.0959669963091662,BNY Mellon,Financials,Asset Management & Custody Banks
64,BKNG,0.3041878677819152,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail
65,BKR,0.1469846392022675,Baker Hughes,Energy,Oil & Gas Equipment & Services
66,BLK,0.2735525763431923,BlackRock,Financials,Asset Management & Custody Banks
67,BMY,0.0806904011333311,Bristol Myers Squibb,Health Care,Pharmaceuticals
68,BR,0.1955469318731613,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services
69,BRO,0.1955244006717456,Brown & Brown,Financials,Insurance Brokers
70,BSX,0.1309084371173401,Boston Scientific,Health Care,Health Care Equipment
71,BWA,0.1697229426909519,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment
72,BXP,0.1233350696463535,Boston Properties,Real Estate,Office REITs
73,C,0.0640772968037464,Citigroup,Financials,Diversified Banks
74,CAG,0.0833672191554169,Conagra Brands,Consumer Staples,Packaged Foods & Meats
75,CAH,0.0962459682309528,Cardinal Health,Health Care,Health Care Distributors
76,CARR,0.699203287913186,Carrier Global,Industrials,Building Products
77,CAT,0.1873819256138504,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
78,CB,0.1551833563325684,Chubb Limited,Financials,Property & Casualty Insurance
79,CBOE,0.1627743502526426,Cboe Global Markets,Financials,Financial Exchanges & Data
80,CBRE,0.310589468147608,CBRE Group,Real Estate,Real Estate Services
81,CCI,0.2140215419694706,Crown Castle,Real Estate,Telecom Tower REITs
82,CCL,0.0623425116788345,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
83,CDAY,0.3162893966039066,Ceridian,Information Technology,Application Software
84,CDNS,0.1907877268134004,Cadence Design Systems,Information Technology,Application Software
85,CDW,0.3386163676196352,CDW,Information Technology,Technology Distributors
86,CE,0.2168022837760288,Celanese,Materials,Specialty Chemicals
87,CEG,0.7967141657763372,Constellation Energy,Utilities,Multi-Utilities
88,CF,0.3502324401871468,CF Industries,Materials,Fertilizers & Agricultural Chemicals
89,CFG,0.1484598188376751,Citizens Financial Group,Financials,Regional Banks
90,CHD,0.1962195007864751,Church & Dwight,Consumer Staples,Household Products
91,CHRW,0.1961373291425083,C.H. Robinson,Industrials,Air Freight & Logistics
92,CHTR,0.2394676182225268,Charter Communications,Communication Services,Cable & Satellite
93,CI,0.1848493976802458,Cigna,Health Care,Managed Health Care
94,CINF,0.1321648316107619,Cincinnati Financial,Financials,Property & Casualty Insurance
95,CL,0.0997325149804553,Colgate-Palmolive,Consumer Staples,Household Products
96,CLX,0.1037519359960055,Clorox,Consumer Staples,Household Products
97,CMA,0.0955771831717835,Comerica,Financials,Diversified Banks
98,CMCSA,0.1312460973351097,Comcast,Communication Services,Cable & Satellite
99,CME,0.2718677206612663,CME Group,Financials,Financial Exchanges & Data
100,CMG,0.333260243592163,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
101,CMI,0.2573600068535553,Cummins,Industrials,Industrial Machinery & Supplies & Components
102,CMS,0.0872344610348598,CMS Energy,Utilities,Multi-Utilities
103,CNC,0.3064984872078644,Centene Corporation,Health Care,Managed Health Care
104,CNP,0.1157956923395768,CenterPoint Energy,Utilities,Multi-Utilities
105,COF,0.1727669781274774,Capital One,Financials,Consumer Finance
106,COO,0.232085774526743,CooperCompanies,Health Care,Health Care Supplies
107,COP,0.1744581285664246,ConocoPhillips,Energy,Oil & Gas Exploration & Production
108,COST,0.1779452122546805,Costco,Consumer Staples,Consumer Staples Merchandise Retail
109,CPB,0.0585613951714567,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats
110,CPRT,0.3008454350604423,Copart,Industrials,Diversified Support Services
111,CPT,0.1636968003906627,Camden Property Trust,Real Estate,Residential REITs
